INFO:root:Number of parameters: 4230654
INFO:root:045: Acc-tr:  96.57, Acc-val:  65.77, L-tr: 0.1169, L-val: 2.3847, Time: 503.921566
INFO:root:046: Acc-tr:  97.29, Acc-val:  66.95, L-tr: 0.0931, L-val: 2.3739, Time: 514.862846
INFO:root:047: Acc-tr:  97.85, Acc-val:  67.29, L-tr: 0.0746, L-val: 2.5837, Time: 525.924005
INFO:root:048: Acc-tr:  97.77, Acc-val:  66.37, L-tr: 0.0767, L-val: 2.5055, Time: 537.134555
INFO:root:049: Acc-tr:  97.20, Acc-val:  66.15, L-tr: 0.0952, L-val: 2.5308, Time: 548.329897
INFO:root:050: Acc-tr:  97.06, Acc-val:  66.09, L-tr: 0.0965, L-val: 2.5190, Time: 559.743930
INFO:root:051: Acc-tr:  97.23, Acc-val:  66.86, L-tr: 0.0932, L-val: 2.4398, Time: 570.950738
INFO:root:052: Acc-tr:  97.26, Acc-val:  66.51, L-tr: 0.0945, L-val: 2.2450, Time: 582.720739
INFO:root:053: Acc-tr:  97.95, Acc-val:  66.86, L-tr: 0.0731, L-val: 2.4437, Time: 594.078560
INFO:root:054: Acc-tr:  97.73, Acc-val:  67.34, L-tr: 0.0762, L-val: 2.5785, Time: 605.922122
INFO:root:055: Acc-tr:  97.25, Acc-val:  65.93, L-tr: 0.0962, L-val: 2.4321, Time: 617.663543
INFO:root:056: Acc-tr:  97.61, Acc-val:  65.80, L-tr: 0.0821, L-val: 2.5599, Time: 628.917491
INFO:root:057: Acc-tr:  97.39, Acc-val:  66.09, L-tr: 0.0890, L-val: 2.5802, Time: 640.166301
INFO:root:058: Acc-tr:  96.73, Acc-val:  66.33, L-tr: 0.1135, L-val: 2.4266, Time: 651.416490
INFO:root:059: Acc-tr:  97.27, Acc-val:  66.70, L-tr: 0.0989, L-val: 2.3895, Time: 662.721698
INFO:root:060: Acc-tr:  97.90, Acc-val:  66.54, L-tr: 0.0697, L-val: 2.5301, Time: 673.969018
INFO:root:061: Acc-tr:  98.29, Acc-val:  66.86, L-tr: 0.0593, L-val: 2.5939, Time: 685.348508
INFO:root:062: Acc-tr:  98.07, Acc-val:  67.15, L-tr: 0.0660, L-val: 2.5130, Time: 696.791823
INFO:root:063: Acc-tr:  97.52, Acc-val:  66.83, L-tr: 0.0859, L-val: 2.5529, Time: 708.210134
INFO:root:064: Acc-tr:  97.78, Acc-val:  65.82, L-tr: 0.0779, L-val: 2.4749, Time: 719.403498
INFO:root:065: Acc-tr:  97.73, Acc-val:  66.42, L-tr: 0.0770, L-val: 2.4441, Time: 730.648106
INFO:root:066: Acc-tr:  98.15, Acc-val:  65.92, L-tr: 0.0637, L-val: 2.5824, Time: 741.806709
INFO:root:067: Acc-tr:  98.05, Acc-val:  66.77, L-tr: 0.0683, L-val: 2.4209, Time: 752.806526
INFO:root:068: Acc-tr:  98.45, Acc-val:  66.68, L-tr: 0.0548, L-val: 2.4962, Time: 763.888570
INFO:root:069: Acc-tr:  98.15, Acc-val:  66.26, L-tr: 0.0628, L-val: 2.5381, Time: 775.085134
INFO:root:070: Acc-tr:  98.03, Acc-val:  66.60, L-tr: 0.0682, L-val: 2.4491, Time: 786.085121
INFO:root:071: Acc-tr:  97.65, Acc-val:  66.23, L-tr: 0.0827, L-val: 2.5126, Time: 797.114514
INFO:root:072: Acc-tr:  98.05, Acc-val:  66.70, L-tr: 0.0679, L-val: 2.3824, Time: 808.210474
